idindikator;IDAktStanovnistva;nAktStanovnistva;mes;god;IDStarGrupa;nStarGrupa;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS11;Београдски регион;175.4;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS11;Београдски регион;1147.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS11;Београдски регион;256.4;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS11;Београдски регион;244.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS11;Београдски регион;218.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS11;Београдски регион;253.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS11;Београдски регион;283.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS12;Регион Војводине;1636;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS12;Регион Војводине;219.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS12;Регион Војводине;1311.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS12;Регион Војводине;262.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS12;Регион Војводине;261;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS12;Регион Војводине;272.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS12;Регион Војводине;294.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS12;Регион Војводине;324.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS2;СРБИЈА – ЈУГ;3032.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS2;СРБИЈА – ЈУГ;409.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS2;СРБИЈА – ЈУГ;2364.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS2;СРБИЈА – ЈУГ;439.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS2;СРБИЈА – ЈУГ;467.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS2;СРБИЈА – ЈУГ;485.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS2;СРБИЈА – ЈУГ;562.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS2;СРБИЈА – ЈУГ;667.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS21;Регион Шумадије и Западне Србије;1709.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS21;Регион Шумадије и Западне Србије;232.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS21;Регион Шумадије и Западне Србије;1347.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS21;Регион Шумадије и Западне Србије;251.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS21;Регион Шумадије и Западне Србије;264.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS21;Регион Шумадије и Западне Србије;277.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS21;Регион Шумадије и Западне Србије;320.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS21;Регион Шумадије и Западне Србије;362.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS22;Регион Јужне и Источне Србије;1323;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS22;Регион Јужне и Источне Србије;176.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS22;Регион Јужне и Источне Србије;1017.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS22;Регион Јужне и Источне Србије;188.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS22;Регион Јужне и Источне Србије;203.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS22;Регион Јужне и Источне Србије;207.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS22;Регион Јужне и Источне Србије;241.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS22;Регион Јужне и Источне Србије;305.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;0;Укупно;00;2014;0;Укупно;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;0;Укупно;00;2014;15-24;15–24;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;0;Укупно;00;2014;15-64;15–64 годинe;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;0;Укупно;00;2014;25-34;25–34;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;0;Укупно;00;2014;35-44;35–44;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;0;Укупно;00;2014;45-54;45–54;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;0;Укупно;00;2014;55-64;55–64;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;0;Укупно;00;2014;65;65 и више година;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS;РЕПУБЛИКА СРБИЈА;3167.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS;РЕПУБЛИКА СРБИЈА;228.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS;РЕПУБЛИКА СРБИЈА;3053;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS;РЕПУБЛИКА СРБИЈА;762.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS;РЕПУБЛИКА СРБИЈА;832.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS;РЕПУБЛИКА СРБИЈА;763.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS;РЕПУБЛИКА СРБИЈА;465.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS;РЕПУБЛИКА СРБИЈА;114.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS1;СРБИЈА – СЕВЕР;1589.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS1;СРБИЈА – СЕВЕР;111;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS1;СРБИЈА – СЕВЕР;1563.4;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS1;СРБИЈА – СЕВЕР;413;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS1;СРБИЈА – СЕВЕР;436.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS1;СРБИЈА – СЕВЕР;387.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS1;СРБИЈА – СЕВЕР;215.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS1;СРБИЈА – СЕВЕР;25.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS11;Београдски регион;742;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS11;Београдски регион;40.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS11;Београдски регион;733.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS11;Београдски регион;201;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS11;Београдски регион;211.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS11;Београдски регион;177;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS11;Београдски регион;103.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS11;Београдски регион;8.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS12;Регион Војводине;847.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS12;Регион Војводине;70.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS12;Регион Војводине;829.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS12;Регион Војводине;212;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS12;Регион Војводине;225.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS12;Регион Војводине;210.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS12;Регион Војводине;112;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS12;Регион Војводине;17.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS2;СРБИЈА – ЈУГ;1578.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS2;СРБИЈА – ЈУГ;117.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS2;СРБИЈА – ЈУГ;1489.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS2;СРБИЈА – ЈУГ;349.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS2;СРБИЈА – ЈУГ;396.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS2;СРБИЈА – ЈУГ;376.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS2;СРБИЈА – ЈУГ;249.2;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS2;СРБИЈА – ЈУГ;89;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS21;Регион Шумадије и Западне Србије;924.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS21;Регион Шумадије и Западне Србије;66;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS21;Регион Шумадије и Западне Србије;866.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS21;Регион Шумадије и Западне Србије;201.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS21;Регион Шумадије и Западне Србије;225.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS21;Регион Шумадије и Западне Србије;223.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS21;Регион Шумадије и Западне Србије;151.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS21;Регион Шумадије и Западне Србије;58;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS22;Регион Јужне и Источне Србије;653.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS22;Регион Јужне и Источне Србије;51.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS22;Регион Јужне и Источне Србије;622.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS22;Регион Јужне и Источне Србије;148.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS22;Регион Јужне и Источне Србије;171;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS22;Регион Јужне и Источне Србије;153.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS22;Регион Јужне и Источне Србије;98.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS22;Регион Јужне и Источне Србије;30.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;1;Активно становништво;00;2014;0;Укупно;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;15-24;15–24;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;15-64;15–64 годинe;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;25-34;25–34;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;35-44;35–44;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;45-54;45–54;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;55-64;55–64;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;1;Активно становништво;00;2014;65;65 и више година;RS23;Регион Косовo и Метохијa;;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;O;Не располаже се податком
240002090104IND01;2;Запослена лица;00;2014;0;Укупно;RS;РЕПУБЛИКА СРБИЈА;2559.4;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;15-24;15–24;RS;РЕПУБЛИКА СРБИЈА;120.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;15-64;15–64 годинe;RS;РЕПУБЛИКА СРБИЈА;2445.8;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;25-34;25–34;RS;РЕПУБЛИКА СРБИЈА;564.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;35-44;35–44;RS;РЕПУБЛИКА СРБИЈА;698.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;45-54;45–54;RS;РЕПУБЛИКА СРБИЈА;655.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;55-64;55–64;RS;РЕПУБЛИКА СРБИЈА;407.6;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;65;65 и више година;RS;РЕПУБЛИКА СРБИЈА;113.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;0;Укупно;RS1;СРБИЈА – СЕВЕР;1292.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;15-24;15–24;RS1;СРБИЈА – СЕВЕР;61;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;15-64;15–64 годинe;RS1;СРБИЈА – СЕВЕР;1268;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;25-34;25–34;RS1;СРБИЈА – СЕВЕР;314.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;35-44;35–44;RS1;СРБИЈА – СЕВЕР;374.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;45-54;45–54;RS1;СРБИЈА – СЕВЕР;334.1;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;55-64;55–64;RS1;СРБИЈА – СЕВЕР;183.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;65;65 и више година;RS1;СРБИЈА – СЕВЕР;24.9;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;0;Укупно;RS11;Београдски регион;614.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;15-24;15–24;RS11;Београдски регион;20.5;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;15-64;15–64 годинe;RS11;Београдски регион;606.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;25-34;25–34;RS11;Београдски регион;156.7;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
240002090104IND01;2;Запослена лица;00;2014;35-44;35–44;RS11;Београдски регион;183.3;THS;хиљада;РЗС;Укупно становништво према радној активности, старости и региону;A;Коначан податак
