idindikator,IDAktStanovnistva,nAktStanovnistva,mes,god,IDNivoObraz,nNivoObraz,IDTer,nTer,vrednost,idJedinicaMere,nJedinicaMere,nIzvorI,Indikator,IDStatusPodatka,nStatusPodatka
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS,РЕПУБЛИКА СРБИЈА,3167.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS,РЕПУБЛИКА СРБИЈА,580.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS,РЕПУБЛИКА СРБИЈА,1869.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS,РЕПУБЛИКА СРБИЈА,717.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS1,СРБИЈА – СЕВЕР,1589.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS1,СРБИЈА – СЕВЕР,197.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS1,СРБИЈА – СЕВЕР,932.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS1,СРБИЈА – СЕВЕР,459.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS11,Београдски регион,742,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS11,Београдски регион,51,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS11,Београдски регион,412.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS11,Београдски регион,278.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS12,Регион Војводине,847.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS12,Регион Војводине,146.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS12,Регион Војводине,519.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS12,Регион Војводине,181.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS2,СРБИЈА – ЈУГ,1578.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS2,СРБИЈА – ЈУГ,383,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS2,СРБИЈА – ЈУГ,937.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS2,СРБИЈА – ЈУГ,258.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS21,Регион Шумадије и Западне Србије,924.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS21,Регион Шумадије и Западне Србије,239.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS21,Регион Шумадије и Западне Србије,538.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS21,Регион Шумадије и Западне Србије,147.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS22,Регион Јужне и Источне Србије,653.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS22,Регион Јужне и Источне Србије,143.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS22,Регион Јужне и Источне Србије,399.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS22,Регион Јужне и Источне Србије,111,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,1,Активно становништво,00,2014,1,Укупно,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,1,Активно становништво,00,2014,2,Без образовања и ниже образовање,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,1,Активно становништво,00,2014,3,Средње,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,1,Активно становништво,00,2014,4,Више и високо,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS,РЕПУБЛИКА СРБИЈА,2559.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS,РЕПУБЛИКА СРБИЈА,479.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS,РЕПУБЛИКА СРБИЈА,1472.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS,РЕПУБЛИКА СРБИЈА,607.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS1,СРБИЈА – СЕВЕР,1292.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS1,СРБИЈА – СЕВЕР,147.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS1,СРБИЈА – СЕВЕР,743.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS1,СРБИЈА – СЕВЕР,401.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS11,Београдски регион,614.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS11,Београдски регион,38.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS11,Београдски регион,330.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS11,Београдски регион,245.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS12,Регион Војводине,678.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS12,Регион Војводине,109.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS12,Регион Војводине,413.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS12,Регион Војводине,155.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS2,СРБИЈА – ЈУГ,1266.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS2,СРБИЈА – ЈУГ,331.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS2,СРБИЈА – ЈУГ,728.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS2,СРБИЈА – ЈУГ,206.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS21,Регион Шумадије и Западне Србије,758,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS21,Регион Шумадије и Западне Србије,212.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS21,Регион Шумадије и Западне Србије,425.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS21,Регион Шумадије и Западне Србије,120.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS22,Регион Јужне и Источне Србије,508.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS22,Регион Јужне и Источне Србије,119.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS22,Регион Јужне и Источне Србије,302.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS22,Регион Јужне и Источне Србије,86,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,2,Запослена лица,00,2014,1,Укупно,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,2,Запослена лица,00,2014,2,Без образовања и ниже образовање,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,2,Запослена лица,00,2014,3,Средње,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,2,Запослена лица,00,2014,4,Више и високо,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS,РЕПУБЛИКА СРБИЈА,608.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS,РЕПУБЛИКА СРБИЈА,100.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS,РЕПУБЛИКА СРБИЈА,397.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS,РЕПУБЛИКА СРБИЈА,110.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS1,СРБИЈА – СЕВЕР,296.1,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS1,СРБИЈА – СЕВЕР,49.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS1,СРБИЈА – СЕВЕР,188.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS1,СРБИЈА – СЕВЕР,58.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS11,Београдски регион,127.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS11,Београдски регион,12.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS11,Београдски регион,82,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS11,Београдски регион,32.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS12,Регион Војводине,168.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS12,Регион Војводине,36.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS12,Регион Војводине,106.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS12,Регион Војводине,25.4,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS2,СРБИЈА – ЈУГ,312,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS2,СРБИЈА – ЈУГ,51.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS2,СРБИЈА – ЈУГ,208.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS2,СРБИЈА – ЈУГ,52,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS21,Регион Шумадије и Западне Србије,166.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS21,Регион Шумадије и Западне Србије,27.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS21,Регион Шумадије и Западне Србије,112.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS21,Регион Шумадије и Западне Србије,27,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS22,Регион Јужне и Источне Србије,145.2,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS22,Регион Јужне и Источне Србије,23.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS22,Регион Јужне и Источне Србије,96.3,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS22,Регион Јужне и Источне Србије,25,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,3,Незапослена лица,00,2014,1,Укупно,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,3,Незапослена лица,00,2014,2,Без образовања и ниже образовање,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,3,Незапослена лица,00,2014,3,Средње,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,3,Незапослена лица,00,2014,4,Више и високо,RS23,Регион Косовo и Метохијa,,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,O,Не располаже се податком
240002090103IND01,4,Неактивно становништво,00,2014,1,Укупно,RS,РЕПУБЛИКА СРБИЈА,2931.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,2,Без образовања и ниже образовање,RS,РЕПУБЛИКА СРБИЈА,1337.7,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,3,Средње,RS,РЕПУБЛИКА СРБИЈА,1272,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,4,Више и високо,RS,РЕПУБЛИКА СРБИЈА,321.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,1,Укупно,RS1,СРБИЈА – СЕВЕР,1477.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,2,Без образовања и ниже образовање,RS1,СРБИЈА – СЕВЕР,583.6,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,3,Средње,RS1,СРБИЈА – СЕВЕР,686.8,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,4,Више и високо,RS1,СРБИЈА – СЕВЕР,207.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,1,Укупно,RS11,Београдски регион,688.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,2,Без образовања и ниже образовање,RS11,Београдски регион,210,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,3,Средње,RS11,Београдски регион,344.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,4,Више и високо,RS11,Београдски регион,133.9,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,1,Укупно,RS12,Регион Војводине,789,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
240002090103IND01,4,Неактивно становништво,00,2014,2,Без образовања и ниже образовање,RS12,Регион Војводине,373.5,THS,хиљада,РЗС,Укупно становништво према радној активности, образовању и региону,A,Коначан податак
